,nickname,text,score,like,dislike,time,watch_movie
0,한작가(hana****),"이런 영화 돈 안되는 거 알면서도 만든 제작자에 박수를,,,",9,408,13,2019-04-03 16:00:00,0
1,보리차(taij****),남들 눈엔 노망이라도. 나에게는 로망이기를.,8,371,16,2019-04-03 11:47:00,0
2,hkjj****,상영관이 생각보다 넘 없네요..볼만한 영화인거 같은데,9,200,18,2019-04-03 09:25:00,0
3,블리블리(stop****),억지 감동이 아닌 영화라 너무 좋았고 가족끼리 보기 딱 좋네요. 많은 생각을 하게 만드는 영화 같습니다 추천합니다.,10,180,4,2019-04-03 10:19:00,0
4,hsh1****,치매가 얼마나 무서운 질병인지 알려주고 부모님의 소중함과 효도를 해야겠다라는 생각이 깊게 들게 해주는 영화인거같습니다.한번 적어도 혼자서라도 보거나 가족분들과 보러가는것도 좋을꺼같습니다.,10,139,4,2019-04-03 09:52:00,0
5,슈퍼 바이크(cana****),이순재 정영숙님 인생드라마 명품연기 감사합니다,10,124,7,2019-04-03 13:41:00,0
6,bsu1****,"가슴 아프고 부모님을 돌아볼 영화,,",8,97,3,2019-04-03 09:39:00,0
7,mic(mics****),결혼한 남자분이 보시면 배우자를 다시 생각하게 만드는 영화입니다~,10,102,11,2019-04-03 11:07:00,0
8,추니(gceh****),엉엉 소리내어 울고 싶었던 영화  아직도 가슴이 먹먹,10,77,2,2019-04-03 13:12:00,0
9,나의작은별(litt****),보다가 너무 많이 움 ㅠ ㅠ,10,78,6,2019-04-03 13:39:00,0
10,뷰자데(ciel****),어머니와 함께 봤습니다. 울고 웃으며 많은 생각이 들었어요. 극장에 부모님 모시고 가서 보세요. 참 좋은 영화입니다.,9,71,5,2019-04-03 11:35:00,0
11,김지혜(wlsu****),완전 감동적이네요다시한번 삶을 돌아보게 되는 영화같아요이게 바로 명작 아니겠습니까ㅠㅠ,10,59,4,2019-04-03 13:33:00,0
12,완행(duso****),로망을 보면서 나의 앞날을 보는것 같아서 울었고~~치매로 며칠전에 돌아가신 울 엄마 생각이 나서 울었고~~마음과 코끝이 찡하네용^넘 좋았어요^^,10,58,4,2019-04-05 09:22:00,0
13,tbcm****,자극적인 뉴스에 지친 일상에 단비처럼 감성을 촉촉히 적셔주는 영화. 부모님의 삶에 대해 다시한번 생각해보고  또 살아계실때 효도해야겠다는 생각이 드는 영화. 보는 내내 지루하지 않고 자극적이지 않아 좋았던 근래들어 ...,10,52,2,2019-04-03 14:56:00,0
14,구민혜(minh****),스토리넘좋네요 가족을다시생각하게되는 시간이었어요,10,52,2,2019-04-03 13:31:00,0
15,wee2****,인생의 끝자락에 서서 뒤돌아보니 아직도 내옆에 남아있는건 내 아내였더라.,10,51,4,2019-04-03 10:29:00,0
16,ncin****,덤덤하게 그래서 더 짠한...,8,47,2,2019-04-03 13:29:00,0
17,새우(shri****),품안에 있을 때만 자식이다.자식과 나는 1촌관계 그이상 그이하도 아니다.역시 나중에 남는건 배우자 밖에 없다.,10,35,1,2019-04-04 11:30:00,0
18,KangP(mook****),올 해 꼭 봐야 할 영화~~,10,35,2,2019-04-03 11:22:00,0
19,아침N(morn****),요즘 같은 시대에 정말 마음을 씻어주는 영화네요. 가족 관람 적극 추천,10,33,1,2019-04-03 10:28:00,0
20,영화미치광이(mnb5****),로망... 개봉 첫날 조조로 봤네요. 이순재 선생님과 정영숙 선생님의 연기는 말할 것도 없고요. '로맨스'와 '노망' 두 가지 중의적인 의미를 고스란히 담고 있네요. 제목도 내용도 모두 ...,10,30,1,2019-04-03 14:52:00,0
21,김지애(wldo****),어제 점심에 봤는데 하루가 지난 지금까지도 여운이 남네요 보는내내 감동적이고 끝나고 나서도 가슴이 적적해지는 영화였습니다. 뻔하게 흘러가지 않아서 좋았고 인위적이지 않은 감동이였습니다.,10,32,3,2019-04-04 13:37:00,0
22,doeun(ehdm****),"반가워. 나도요, 반가워요",10,33,4,2019-04-03 11:28:00,0
23,매리(maer****),좋은 영화인데 상영하는 곳이 많지 않아 속상하네요..,10,28,2,2019-04-06 19:20:00,0
24,전성현(2374****),이런 영화를 영화관에 제대로 상영을 안하는 이유를 모르겠어요... 눈물 콧물 다 빼내었어요... 정말 최고의 영화였습니다...,10,25,1,2019-04-06 21:40:00,0
25,하이하이(youj****),최근에 본 영화 중에 가장 감동적이였어요. 가족 또는 연인과 함께 보면 좋을 것 같아요,10,24,1,2019-04-03 14:22:00,0
26,dmsdudwldyd88(dmsd****),"자연스럽게 영화를 보고 있으면 눈물이 나는 그런 공감적인 부분이 많이 되었던 영화였던거 같습니다  믿고 볼 수 밖에 없는 배우님들의 연기와  충분히 우리 인생에 있을수 있는 이야기들,나중에 후회하지 말고  있을때 잘...",10,25,2,2019-04-03 11:46:00,0
27,HHM(rotj****),왜?? 상영관이 별로없지??어쩔수없이 엄마랑 조조로봤어요~상영관이 별로 없다는게 안타까웠어요. 보는내내 가슴이 먹먹해지는 영화.꼭 보셨음 좋겠어요!!,10,22,0,2019-04-07 22:50:00,관람객
28,바리티에(9969****),부모님과 함께 볼만한 영화...,9,24,2,2019-04-03 10:45:00,0
29,이상원(lsw8****),상영관을 늘려야합니다,10,25,3,2019-04-07 18:56:00,0
30,kyle(nuno****),영화관 나오면서 바로 어머니에게 전화를 드렸네요. 가족의 소중함을 다시한번 일깨워 주는 영화... 이런 영화 좋아요.,10,23,2,2019-04-03 10:40:00,0
